instance,nodes,obj_value,gap_pct,load_time_s,build_time_s,solve_time_s,total_time_s,status
d2103,2103,0.00,0.0000,4.80,25.22,9.39,39.41,OPTIMAL
dsj1000,1000,0.00,0.0000,1.15,5.17,1.84,8.16,OPTIMAL
fl3795,3795,0.00,0.0000,16.05,86.13,37.16,139.34,OPTIMAL
fnl4461,4461,N/A,N/A,22.88,119.69,64.99,207.57,NO_SOLUTION
pcb1173,1173,0.00,0.0000,1.60,7.46,2.53,11.58,OPTIMAL
pcb3038,3038,0.00,0.0000,10.74,55.37,23.91,90.02,OPTIMAL
pla7397,7397,N/A,N/A,65.90,399.12,72.74,537.75,NO_SOLUTION
pr2392,2392,0.00,0.0000,6.44,31.16,12.29,49.89,OPTIMAL
rl5915,5915,N/A,N/A,39.95,216.14,127.02,383.11,NO_SOLUTION
rl5934,5934,N/A,N/A,40.78,218.84,116.09,375.71,NO_SOLUTION
