instance,nodes,obj_value,gap_pct,load_time_s,build_time_s,solve_time_s,total_time_s,status
d2103,2103,81019,1.7971,4.97,0.70,59.86,65.53,SOLVED
dsj1000,1000,18930413,1.5111,1.21,1.30,59.28,61.80,SOLVED
fl3795,3795,29077,5.0212,16.32,2.15,59.37,77.85,SOLVED
fnl4461,4461,185007,1.8145,22.98,2.91,60.33,86.22,SOLVED
pcb1173,1173,57464,1.1485,1.59,1.30,59.83,62.72,SOLVED
pcb3038,3038,139530,1.8992,10.59,1.48,59.73,71.80,SOLVED
pla7397,7397,23650529,2.6296,65.10,7.84,60.00,132.94,SOLVED
pr2392,2392,383201,1.9162,6.53,0.93,59.39,66.85,SOLVED
rl5915,5915,576569,3.8991,38.86,4.88,59.36,103.10,SOLVED
rl5934,5934,566578,3.6620,39.55,4.90,59.28,103.73,SOLVED
